t,o,h,l,c,v,oi,series,data_source
2024-05-27 14:51:00,49534.2,49537.4,49384.7,49384.7,78405.0,1913730.0,I,
2024-05-27 14:54:00,49366.6,49424.9,49337.6,49370.45,89100.0,1918920.0,I,
2024-05-27 14:57:00,49384.85,49395.0,49316.15,49321.6,43530.0,1933620.0,I,
2024-05-27 15:00:00,49310.0,49413.65,49050.0,49413.65,170895.0,1908315.0,I,
2024-05-27 15:03:00,49423.9,49507.3,49328.8,49360.0,55110.0,1901130.0,I,
2024-05-27 15:06:00,49358.45,49371.15,49275.05,49291.8,27060.0,1897800.0,I,
2024-05-27 15:09:00,49289.6,49333.0,49285.05,49311.5,33795.0,1905105.0,I,
2024-05-27 15:12:00,49303.75,49373.7,49303.75,49348.9,20565.0,1897230.0,I,
2024-05-27 15:15:00,49347.6,49349.25,49279.0,49282.25,37305.0,1911525.0,I,
2024-05-27 15:18:00,49278.7,49386.95,49260.0,49386.95,31215.0,1925625.0,I,
2024-05-27 15:21:00,49382.0,49382.0,49318.0,49350.4,21675.0,1923630.0,I,
2024-05-27 15:24:00,49350.4,49369.55,49343.2,49360.65,25680.0,1926825.0,I,
2024-05-27 15:27:00,49364.8,49373.8,49328.45,49335.0,39375.0,1939080.0,I,
2024-05-28 09:15:00,49400.0,49425.0,49312.6,49407.7,45555.0,1730985.0,I,
2024-05-28 09:18:00,49414.05,49470.0,49400.1,49449.65,27750.0,1729770.0,I,
2024-05-28 09:21:00,49448.55,49537.4,49448.55,49498.55,37080.0,1728480.0,I,
2024-05-28 09:24:00,49496.8,49505.0,49460.15,49468.55,14700.0,1727415.0,I,
2024-05-28 09:27:00,49471.75,49525.0,49460.55,49517.2,20940.0,1725600.0,I,
2024-05-28 09:30:00,49519.4,49521.8,49387.0,49400.85,19530.0,1724565.0,I,
2024-05-28 09:33:00,49392.6,49433.9,49300.5,49317.7,57855.0,1726725.0,I,
2024-05-28 09:36:00,49314.55,49398.0,49309.4,49390.1,32970.0,1754895.0,I,
2024-05-28 09:39:00,49390.0,49411.85,49336.2,49357.85,20745.0,1768050.0,I,
2024-05-28 09:42:00,49358.1,49379.65,49330.1,49362.9,27360.0,1777800.0,I,
2024-05-28 09:45:00,49357.95,49399.0,49327.55,49388.25,12885.0,1798050.0,I,
2024-05-28 09:48:00,49395.0,49395.0,49284.55,49308.65,34290.0,1798380.0,I,
