t,o,h,l,c,v,oi,series,data_source
2024-05-28 10:03:00,22989.7,22993.05,22981.85,22989.1,31450.0,10349425.0,I,
2024-05-28 10:06:00,22989.3,22989.3,22973.75,22976.0,37100.0,10342275.0,I,
2024-05-28 10:09:00,22976.0,22976.0,22958.7,22970.0,61500.0,10343375.0,I,
2024-05-28 10:12:00,22970.0,22988.0,22969.9,22986.1,40375.0,10334450.0,I,
2024-05-28 10:15:00,22988.0,23000.0,22987.65,22998.0,27025.0,10332175.0,I,
2024-05-28 10:18:00,22998.0,23014.85,22997.2,23011.8,45775.0,10341975.0,I,
2024-05-28 10:21:00,23011.85,23028.9,23011.85,23019.0,45525.0,10335825.0,I,
2024-05-28 10:24:00,23019.0,23037.95,23017.3,23024.0,63450.0,10344325.0,I,
2024-05-28 10:27:00,23022.5,23032.6,23020.45,23023.7,25325.0,10360400.0,I,
2024-05-28 10:30:00,23025.65,23029.0,23019.0,23027.6,31275.0,10361525.0,I,
2024-05-28 10:33:00,23028.0,23028.0,23013.0,23018.05,26100.0,10366425.0,I,
2024-05-28 10:36:00,23018.05,23026.8,23015.95,23017.45,26450.0,10363975.0,I,
2024-05-28 10:39:00,23018.3,23020.3,23013.0,23018.0,18725.0,10364700.0,I,
2024-05-28 10:42:00,23018.0,23024.0,23015.0,23018.4,13150.0,10367675.0,I,
2024-05-28 10:45:00,23018.0,23019.3,23000.0,23004.95,37700.0,10369100.0,I,
2024-05-28 10:48:00,23003.0,23020.95,22997.0,23019.3,24275.0,10375800.0,I,
2024-05-28 10:51:00,23019.3,23019.5,23008.0,23009.95,13550.0,10374700.0,I,
2024-05-28 10:54:00,23009.95,23023.0,23009.95,23018.0,11800.0,10377475.0,I,
2024-05-28 10:57:00,23018.0,23020.8,23015.0,23017.85,14025.0,10382675.0,I,
2024-05-28 11:00:00,23017.0,23019.5,23015.4,23017.9,41200.0,10413375.0,I,
2024-05-28 11:03:00,23017.55,23019.6,23008.55,23008.8,30675.0,10423225.0,I,
2024-05-28 11:06:00,23008.85,23016.7,23005.45,23013.85,53300.0,10429600.0,I,
2024-05-28 11:09:00,23014.8,23014.8,22994.15,22999.0,22500.0,10463325.0,I,
2024-05-28 11:12:00,22996.55,23009.95,22992.15,23005.3,16350.0,10467125.0,I,
2024-05-28 11:15:00,23005.3,23014.9,23003.6,23008.0,15700.0,10470900.0,I,
2024-05-28 11:18:00,23007.0,23012.0,23003.0,23007.65,39175.0,10479050.0,I,
2024-05-28 11:21:00,23005.0,23011.5,22996.8,22999.8,25600.0,10506300.0,I,
2024-05-28 11:24:00,22999.8,23000.4,22989.4,22996.65,31625.0,10517925.0,I,
2024-05-28 11:27:00,22998.75,23001.35,22980.55,22983.6,27250.0,10533450.0,I,
2024-05-28 11:30:00,22980.7,22986.0,22963.6,22979.25,75850.0,10536825.0,I,
2024-05-28 11:33:00,22979.25,22982.1,22973.6,22977.75,23025.0,10543200.0,I,
2024-05-28 11:36:00,22977.75,22987.1,22975.05,22984.05,19700.0,10545725.0,I,
2024-05-28 11:39:00,22980.55,22995.7,22979.35,22993.2,26900.0,10558300.0,I,
2024-05-28 11:42:00,22993.2,22994.8,22983.95,22987.3,39575.0,10591075.0,I,
2024-05-28 11:45:00,22990.7,22999.0,22983.6,22983.6,16225.0,10592700.0,I,
2024-05-28 11:48:00,22983.6,22987.75,22976.05,22976.15,13225.0,10599400.0,I,
2024-05-28 11:51:00,22977.0,22984.0,22972.85,22984.0,24875.0,10601100.0,I,
2024-05-28 11:54:00,22980.45,22986.2,22975.1,22976.7,34975.0,10599875.0,I,
2024-05-28 11:57:00,22978.45,22978.45,22962.55,22965.1,33375.0,10608025.0,I,
2024-05-28 12:00:00,22967.35,22987.7,22965.0,22981.2,40175.0,10610300.0,I,
2024-05-28 12:03:00,22981.2,22983.35,22970.05,22979.85,78450.0,10596150.0,I,
2024-05-28 12:06:00,22979.0,22995.05,22979.0,22991.3,33975.0,10632575.0,I,
2024-05-28 12:09:00,22991.3,22995.35,22985.75,22987.4,30550.0,10639750.0,I,
2024-05-28 12:12:00,22987.75,22988.2,22974.35,22975.0,28775.0,10645975.0,I,
2024-05-28 12:15:00,22975.0,22980.25,22971.0,22978.45,37400.0,10635050.0,I,
2024-05-28 12:18:00,22978.45,22980.0,22961.3,22961.3,27950.0,10612600.0,I,
2024-05-28 12:21:00,22961.3,22970.15,22952.65,22961.1,58450.0,10610525.0,I,
2024-05-28 12:24:00,22961.1,22974.45,22957.2,22971.45,48750.0,10603100.0,I,
2024-05-28 12:27:00,22971.45,22977.1,22955.0,22955.9,37975.0,10606675.0,I,
2024-05-28 12:30:00,22955.1,22960.45,22950.0,22955.7,84575.0,10638200.0,I,
2024-05-28 12:33:00,22955.2,22957.85,22925.2,22927.0,69350.0,10643825.0,I,
2024-05-28 12:36:00,22927.0,22934.0,22917.0,22924.0,93425.0,10630425.0,I,
2024-05-28 12:39:00,22923.9,22939.9,22915.25,22937.6,75325.0,10627000.0,I,
2024-05-28 12:42:00,22934.95,22950.8,22931.9,22941.6,75625.0,10614425.0,I,
2024-05-28 12:45:00,22937.5,22944.95,22934.15,22935.95,26075.0,10652350.0,I,
2024-05-28 12:48:00,22935.55,22935.95,22929.0,22933.3,32225.0,10657850.0,I,
2024-05-28 12:51:00,22933.3,22976.9,22933.3,22967.05,93100.0,10645350.0,I,
2024-05-28 12:54:00,22967.05,22995.3,22965.0,22987.05,54975.0,10637850.0,I,
2024-05-28 12:57:00,22985.0,22985.45,22968.05,22968.05,26650.0,10638050.0,I,
2024-05-28 13:00:00,22969.45,22980.0,22963.1,22972.75,53275.0,10668375.0,I,
2024-05-28 13:03:00,22972.75,22984.95,22972.0,22984.85,16900.0,10675475.0,I,
2024-05-28 13:06:00,22984.85,22992.55,22977.25,22977.25,39125.0,10685325.0,I,
2024-05-28 13:09:00,22976.55,22981.75,22968.9,22975.35,24300.0,10704900.0,I,
2024-05-28 13:12:00,22974.95,22978.05,22968.05,22977.9,42100.0,10744675.0,I,
2024-05-28 13:15:00,22978.2,22986.45,22976.0,22982.75,45075.0,10766975.0,I,
2024-05-28 13:18:00,22983.25,22996.8,22981.1,22995.0,31650.0,10785300.0,I,
2024-05-28 13:21:00,22995.65,23007.7,22982.7,22984.4,45950.0,10791825.0,I,
2024-05-28 13:24:00,22983.85,22988.75,22978.05,22981.3,45300.0,10803600.0,I,
2024-05-28 13:27:00,22981.3,22989.55,22975.6,22981.85,25275.0,10824200.0,I,
2024-05-28 13:30:00,22980.0,22984.25,22960.5,22960.9,34500.0,10832350.0,I,
2024-05-28 13:33:00,22963.9,22966.9,22958.05,22960.0,52300.0,10839550.0,I,
2024-05-28 13:36:00,22960.0,22983.75,22956.4,22977.45,28400.0,10871875.0,I,
2024-05-28 13:39:00,22978.85,22983.85,22971.15,22975.0,15025.0,10867850.0,I,
2024-05-28 13:42:00,22972.2,22995.0,22972.2,22993.55,30800.0,10877725.0,I,
2024-05-28 13:45:00,22994.65,22994.65,22983.8,22986.1,18775.0,10884400.0,I,
2024-05-28 13:48:00,22986.15,22989.15,22980.0,22981.65,9900.0,10892925.0,I,
2024-05-28 13:51:00,22981.6,22987.6,22970.25,22970.25,48300.0,10898800.0,I,
2024-05-28 13:54:00,22973.4,22976.65,22961.6,22969.25,15725.0,10930575.0,I,
2024-05-28 13:57:00,22969.25,22971.6,22962.0,22965.4,36200.0,10937350.0,I,
2024-05-28 14:00:00,22962.1,22973.0,22956.0,22970.0,21225.0,10965175.0,I,
2024-05-28 14:03:00,22971.75,22971.75,22950.5,22955.25,22775.0,10973600.0,I,
2024-05-28 14:06:00,22955.0,22962.85,22943.35,22943.35,32075.0,10979450.0,I,
2024-05-28 14:09:00,22946.9,22966.35,22946.1,22964.65,23325.0,10986750.0,I,
2024-05-28 14:12:00,22964.65,22970.8,22962.1,22966.25,28850.0,11001800.0,I,
2024-05-28 14:15:00,22966.25,22978.05,22960.15,22976.55,21625.0,11014275.0,I,
2024-05-28 14:18:00,22975.0,22978.0,22968.0,22975.05,20025.0,11014550.0,I,
2024-05-28 14:21:00,22974.95,22975.2,22963.6,22965.0,24575.0,11035950.0,I,
2024-05-28 14:24:00,22965.15,22972.65,22960.9,22962.75,29100.0,11046350.0,I,
2024-05-28 14:27:00,22962.75,22964.25,22954.0,22963.6,39650.0,11064775.0,I,
2024-05-28 14:30:00,22961.15,22961.15,22950.1,22951.75,22825.0,11060450.0,I,
2024-05-28 14:33:00,22951.25,22954.35,22935.6,22948.65,55400.0,11085100.0,I,
2024-05-28 14:36:00,22946.9,22950.55,22933.65,22934.95,72875.0,11101675.0,I,
2024-05-28 14:39:00,22934.95,22942.35,22923.3,22940.35,88625.0,11066450.0,I,
2024-05-28 14:42:00,22944.15,22955.55,22941.55,22947.05,51150.0,11050625.0,I,
2024-05-28 14:45:00,22947.9,22949.3,22933.2,22935.8,29675.0,10860025.0,I,
2024-05-28 14:48:00,22937.75,22950.1,22935.75,22947.75,28700.0,10863075.0,I,
