date,symbol,series,total_v
2025-01-08,NIFTY,I,5947575.0
2025-01-09,BANKNIFTY,I,1377900.0
2025-01-09,NIFTY,I,4573775.0
2025-01-10,BANKNIFTY,I,2136780.0
2025-01-10,NIFTY,I,6542575.0
2025-01-13,BANKNIFTY,I,1926330.0
2025-01-13,NIFTY,I,6969550.0
2025-01-14,BANKNIFTY,I,1777635.0
2025-01-14,NIFTY,I,4867475.0
2025-01-15,BANKNIFTY,I,1147485.0
2025-01-15,NIFTY,I,3594750.0
2025-01-16,BANKNIFTY,I,1517160.0
2025-01-16,NIFTY,I,4279950.0
2025-01-17,BANKNIFTY,I,1906050.0
2025-01-17,NIFTY,I,5459700.0
2025-01-20,BANKNIFTY,I,1969035.0
2025-01-20,NIFTY,I,4092725.0
2025-01-21,BANKNIFTY,I,2081610.0
2025-01-21,NIFTY,I,9710850.0
2025-01-22,BANKNIFTY,I,1893690.0
2025-01-22,NIFTY,I,5294425.0
2025-01-23,BANKNIFTY,I,1287210.0
2025-01-23,NIFTY,I,4030550.0
2025-01-24,BANKNIFTY,I,1883175.0
2025-01-24,NIFTY,I,6887100.0
2025-01-27,BANKNIFTY,I,1600455.0
2025-01-27,NIFTY,I,6048025.0
2025-01-28,BANKNIFTY,I,2105895.0
2025-01-28,NIFTY,I,8099175.0
2025-01-29,BANKNIFTY,I,1299255.0
2025-01-29,NIFTY,I,7453075.0
2025-01-30,BANKNIFTY,II,1657710.0
2025-01-30,NIFTY,II,7861350.0
2025-01-31,BANKNIFTY,I,2020770.0
2025-01-31,NIFTY,I,6668325.0
2025-02-01,BANKNIFTY,I,2944860.0
2025-02-01,NIFTY,I,11320200.0
2025-02-03,BANKNIFTY,I,1409130.0
2025-02-03,NIFTY,I,6272700.0
2025-02-04,BANKNIFTY,I,2419620.0
2025-02-04,NIFTY,I,10275375.0
2025-02-05,BANKNIFTY,I,1206330.0
2025-02-05,NIFTY,I,3833700.0
2025-02-06,BANKNIFTY,I,1145940.0
2025-02-06,NIFTY,I,4147050.0
2025-02-07,BANKNIFTY,I,2582010.0
2025-02-07,NIFTY,I,7112625.0
2025-02-10,BANKNIFTY,I,1180200.0
2025-02-10,NIFTY,I,5104875.0
2025-02-11,BANKNIFTY,I,1841100.0
2025-02-11,NIFTY,I,6582450.0
2025-02-12,BANKNIFTY,I,2191620.0
2025-02-12,NIFTY,I,9904875.0
2025-02-13,BANKNIFTY,I,1365720.0
2025-02-13,NIFTY,I,6194325.0
2025-02-14,BANKNIFTY,I,1774950.0
2025-02-14,NIFTY,I,8198400.0
2025-02-17,BANKNIFTY,I,1640220.0
2025-02-17,NIFTY,I,6971550.0
2025-02-18,BANKNIFTY,I,1280130.0
2025-02-18,NIFTY,I,5482350.0
2025-02-19,BANKNIFTY,I,1635450.0
2025-02-19,NIFTY,I,6484800.0
2025-02-20,BANKNIFTY,I,949470.0
2025-02-20,NIFTY,I,4096575.0
2025-02-21,BANKNIFTY,I,1719690.0
2025-02-21,NIFTY,I,7214625.0
2025-02-24,BANKNIFTY,I,1566780.0
2025-02-24,NIFTY,I,7971900.0
2025-02-25,BANKNIFTY,I,1108650.0
2025-02-25,NIFTY,I,7117200.0
2025-02-27,BANKNIFTY,I,1652070.0
2025-02-27,NIFTY,II,7325100.0
2025-02-28,BANKNIFTY,I,1775130.0
2025-02-28,NIFTY,I,9183375.0
2025-03-03,BANKNIFTY,I,1395900.0
2025-03-03,NIFTY,I,6696825.0
2025-03-04,BANKNIFTY,I,1358400.0
2025-03-04,NIFTY,I,4736175.0
2025-03-05,BANKNIFTY,I,1188780.0
2025-03-05,NIFTY,I,6192450.0
2025-03-06,BANKNIFTY,I,1279710.0
2025-03-06,NIFTY,I,8776575.0
2025-03-07,BANKNIFTY,I,1338000.0
2025-03-07,NIFTY,I,5674500.0
2025-03-10,BANKNIFTY,I,1118190.0
2025-03-10,NIFTY,I,5186700.0
2025-03-11,BANKNIFTY,I,1324470.0
2025-03-11,NIFTY,I,5640000.0
2025-03-12,BANKNIFTY,I,1239240.0
2025-03-12,NIFTY,I,5858100.0
2025-03-13,BANKNIFTY,I,1037850.0
2025-03-13,NIFTY,I,4934250.0
2025-03-17,BANKNIFTY,I,1015290.0
2025-03-17,NIFTY,I,5069925.0
2025-03-18,BANKNIFTY,I,1900920.0
2025-03-18,NIFTY,I,6725325.0
2025-03-19,BANKNIFTY,I,1129440.0
2025-03-19,NIFTY,I,4430925.0
2025-03-20,BANKNIFTY,I,1115280.0
2025-03-20,NIFTY,I,7796850.0
2025-03-21,BANKNIFTY,I,1334430.0
2025-03-21,NIFTY,I,6678300.0
2025-03-24,BANKNIFTY,I,1783740.0
2025-03-24,NIFTY,I,7108125.0
2025-03-25,BANKNIFTY,I,1611870.0
2025-03-25,NIFTY,I,8442375.0
2025-03-26,BANKNIFTY,I,1541670.0
2025-03-26,NIFTY,I,8309475.0
2025-03-27,BANKNIFTY,II,1378890.0
2025-03-27,NIFTY,II,6250500.0
2025-03-28,BANKNIFTY,I,1627410.0
2025-03-28,NIFTY,I,7312950.0
2025-04-01,BANKNIFTY,I,1810290.0
2025-04-01,NIFTY,I,9196575.0
